URL,Title,Price,Rating,Reviews
https://www.airbnb.fr/rooms/1131858854379972046,Sanctuary Vista House,,N/A,N/A
https://www.airbnb.fr/rooms/1220500325475895707,Appartement à Djeddah au design moderne,,N/A,N/A
https://www.airbnb.fr/rooms/36620948,The Beach Retreat - Beach Front,,N/A,N/A
https://www.airbnb.fr/rooms/1157310631207293254,La Perle,,N/A,N/A
https://www.airbnb.fr/rooms/685234727555110821,Cottage de luxe avec vue sur la mer dans une oliveraie tranquille,,N/A,N/A
https://www.airbnb.fr/rooms/611286621308523587,Kalkan Kas Modern Design Villa with Shelter Pool,,N/A,N/A
https://www.airbnb.fr/rooms/826120302640320294,Atlantic Apartments Taghazout (appartement n ° 6),,N/A,N/A
https://www.airbnb.fr/rooms/1197106741310940544,"Casas das Hortas, Apartamento Vista Serra e Mar",,N/A,N/A
https://www.airbnb.fr/rooms/833750762602591019,Heleniko : studio de luxe avec vue sur la mer,,N/A,N/A
https://www.airbnb.fr/rooms/50589518,Chambre privée dans un Riad traditionnel,,N/A,N/A
https://www.airbnb.fr/rooms/49008709,Casa do Miradouro - Studio,,N/A,N/A
https://www.airbnb.fr/rooms/912017991741468615,EL Stella Blue,,N/A,N/A
https://www.airbnb.fr/rooms/1034015144321010379,le studio de résidence avec vue 4,,N/A,N/A
https://www.airbnb.fr/rooms/48140229,KYANO lux appartement vue sur la mer,,N/A,N/A
https://www.airbnb.fr/rooms/11491343,"Spitaki dans le village, Kissamos",,N/A,N/A
https://www.airbnb.fr/rooms/1123196689473218915,Utopia City Nest 3 Rooftop,,N/A,N/A
